Tiempo Total;Max_Cola;Promedio_Espera
280,20;29;2,63
281,12;54;4,20
292,93;31;2,31
289,23;100;4,24
279,80;46;2,89
274,67;64;3,36
285,28;61;3,69
301,88;39;2,20
287,43;91;3,52
283,07;48;2,08
274,92;99;4,36
292,50;35;1,72
277,23;47;2,31
297,88;90;3,80
291,87;27;1,99
285,17;26;1,98
271,52;117;4,40
282,13;139;9,46
286,28;142;14,45
282,47;35;2,53
291,15;101;3,73
283,10;20;2,16
293,23;22;1,58
283,38;46;2,23
294,65;91;4,21
273,12;112;5,95
290,83;12;1,21
270,92;111;5,33
287,57;45;2,99
279,52;80;3,39
282,02;30;2,34
283,32;48;1,59
302,08;13;1,12
280,98;27;2,17
279,12;39;2,94
268,90;152;5,99
276,87;110;5,16
297,50;33;1,67
289,73;31;2,32
304,30;34;2,39
303,32;35;1,99
301,97;28;1,47
282,48;65;3,69
282,63;99;3,38
296,63;35;1,92
298,00;18;1,00
301,25;14;0,96
289,63;46;2,22
304,43;12;1,07
316,90;6;0,64
279,98;80;3,96
296,93;46;2,76
281,78;22;2,17
290,42;47;1,85
287,43;71;2,45
280,97;81;4,94
303,47;27;1,62
295,73;51;2,44
289,62;28;1,52
288,10;37;2,00
289,48;20;1,24
291,55;12;1,45
294,08;94;6,02
278,58;137;12,35
278,18;50;2,83
302,17;17;1,08
300,38;27;1,61
288,50;42;2,72
272,23;57;3,59
300,45;14;0,90
295,07;34;2,02
282,57;37;1,70
301,42;16;1,24
282,40;58;3,64
293,55;63;2,92
275,55;141;6,97
292,43;21;1,02
299,00;18;1,48
289,60;13;1,09
305,80;10;0,82
284,90;51;3,56
299,40;25;1,75
277,40;115;6,31
297,60;9;0,81
290,68;32;1,55
279,40;49;3,50
280,83;110;5,20
277,57;79;4,82
296,37;38;1,90
273,70;164;8,90
290,65;82;3,22
290,60;15;1,73
297,30;66;3,25
285,93;69;2,64
297,03;26;2,10
288,52;47;2,56
284,25;27;2,21
295,23;14;1,16
276,30;103;5,18
284,15;23;1,92
302,15;32;1,63
287,58;33;1,95
291,97;34;2,37
293,95;16;1,18
291,78;32;1,46
285,90;21;1,97
291,43;38;2,38
283,95;32;1,92
288,43;56;2,05
301,32;65;2,39
295,37;48;1,97
288,45;23;1,69
283,28;62;4,10
293,70;40;1,74
284,03;68;2,48
283,52;31;1,91
296,83;11;1,14
273,83;20;2,03
282,18;34;2,13
292,83;109;3,80
309,65;13;1,06
285,77;18;1,25
301,22;25;1,22
280,12;51;3,59
273,45;104;4,65
289,23;69;2,54
293,07;16;1,11
299,80;54;3,29
292,08;52;2,23
277,65;91;4,93
286,37;86;4,36
301,95;14;1,15
286,05;51;2,69
277,75;126;10,96
274,17;44;3,93
314,73;9;0,83
280,78;62;3,60
282,53;59;3,11
304,43;37;1,68
295,30;30;1,65
290,67;15;1,27
298,18;61;1,90
297,15;28;1,40
303,50;26;1,69
283,25;96;4,95
280,97;65;2,83
282,98;37;3,02
288,58;50;2,27
295,45;33;1,98
287,67;64;3,12
283,50;87;3,68
301,53;21;1,48
289,55;24;1,94
288,77;75;2,37
307,00;50;2,32
289,12;13;1,63
280,62;27;2,74
296,28;35;1,96
288,77;50;2,46
283,00;73;3,46
280,25;116;4,57
286,70;25;1,80
291,07;38;2,19
289,65;73;3,28
307,45;20;0,98
282,03;87;3,15
286,52;26;1,17
295,83;27;1,61
289,60;61;2,30
284,38;39;2,19
276,90;57;2,38
276,55;66;4,53
280,85;77;2,90
289,50;29;2,34
275,02;144;8,56
278,93;57;2,82
276,27;49;2,73
274,12;168;5,95
282,60;97;4,42
287,52;25;2,50
280,00;41;2,60
277,42;45;3,22
289,78;39;2,49
293,93;31;1,84
303,77;15;1,27
309,10;8;0,89
280,37;62;3,06
305,52;39;1,77
274,67;77;2,60
285,27;61;2,38
293,48;27;1,67
297,25;42;2,31
293,80;33;2,16
290,67;43;2,14
282,57;141;6,03
278,97;110;6,35
275,15;77;4,60
295,47;16;1,69
276,37;47;3,00
295,55;30;2,22
294,63;48;2,08
276,38;113;8,36
290,13;15;1,07
292,37;42;1,98
277,02;168;9,88
284,55;108;4,40
282,75;48;2,45
300,03;19;1,39
304,42;36;1,37
297,02;44;2,24
282,67;19;1,71
280,68;43;2,97
293,23;39;2,65
295,80;23;1,14
285,02;24;1,65
300,13;34;1,60
279,33;74;4,09
296,05;19;1,16
277,77;46;2,49
289,67;12;1,22
283,37;40;2,00
307,52;28;1,53
276,48;36;2,72
285,68;74;3,99
276,28;51;3,20
296,23;21;1,51
288,62;37;2,16
286,02;87;3,07
295,15;33;1,66
288,32;42;1,63
288,87;18;1,11
292,82;18;1,41
295,70;64;3,29
301,35;35;1,94
286,73;41;1,76
292,35;21;1,77
272,78;71;4,72
284,20;92;3,26
287,22;45;3,36
293,35;18;1,60
277,22;47;2,58
291,27;22;1,41
296,03;21;1,58
288,35;28;1,77
276,12;176;10,14
